X,month,SAMPLING_DATE,SITE,SAMPLE_DESCRIPTOR,FIELD.REP,Element,concentration
21,June,22-Jun-21,DL,EPIL,1,Cu,0.478851964
21,June,22-Jun-21,DL,EPIL,1,Fe,13.89350453
22,June,22-Jun-21,DL,EPIL,2,Cu,0.452928647
22,June,22-Jun-21,DL,EPIL,2,Fe,13.69542066
23,June,22-Jun-21,DL,EPIL,3,Cu,0.540460526
23,June,22-Jun-21,DL,EPIL,3,Fe,16.10526316
24,June,22-Jun-21,DL,EPIL,4,Cu,0.466778336
24,June,22-Jun-21,DL,EPIL,4,Fe,12.58235623
25,June,22-Jun-21,DL,EPIL,5,Cu,0.508903226
25,June,22-Jun-21,DL,EPIL,5,Fe,15.10322581
80,July,7-Jul-21,DL,EPIL,1,Cu,0.637935657
80,July,7-Jul-21,DL,EPIL,1,Fe,13.36997319
81,July,7-Jul-21,DL,EPIL,2,Cu,0.656712963
81,July,7-Jul-21,DL,EPIL,2,Fe,12.63888889
82,July,7-Jul-21,DL,EPIL,3,Cu,0.563215488
82,July,7-Jul-21,DL,EPIL,3,Fe,12.91245791
83,July,7-Jul-21,DL,EPIL,4,Cu,0.59095315
83,July,7-Jul-21,DL,EPIL,4,Fe,12.46365105
84,July,7-Jul-21,DL,EPIL,5,Cu,0.593653251
84,July,7-Jul-21,DL,EPIL,5,Fe,12.34133127
155,August 3rd,3-Aug-21,DL,EPIL,1,Cu,0.122745782
155,August 3rd,3-Aug-21,DL,EPIL,1,Fe,2.56689936
156,August 3rd,3-Aug-21,DL,EPIL,2,Cu,0.37475442
156,August 3rd,3-Aug-21,DL,EPIL,2,Fe,9.120825147
157,August 3rd,3-Aug-21,DL,EPIL,3,Cu,0.567909454
157,August 3rd,3-Aug-21,DL,EPIL,3,Fe,11.07523302
158,August 3rd,3-Aug-21,DL,EPIL,4,Cu,1.855172414
158,August 3rd,3-Aug-21,DL,EPIL,4,Fe,44.17241379
159,August 3rd,3-Aug-21,DL,EPIL,5,Cu,0.961699164
159,August 3rd,3-Aug-21,DL,EPIL,5,Fe,20.99582173
191,August 17th,17-Aug-21,DL,EPIL,1,Cu,1.458041958
191,August 17th,17-Aug-21,DL,EPIL,1,Fe,28.50699301
192,August 17th,17-Aug-21,DL,EPIL,2,Cu,0.4048583
192,August 17th,17-Aug-21,DL,EPIL,2,Fe,7.766194332
193,August 17th,17-Aug-21,DL,EPIL,3,Cu,0.524257165
193,August 17th,17-Aug-21,DL,EPIL,3,Fe,6.564554299
194,August 17th,17-Aug-21,DL,EPIL,4,Cu,0.530531324
194,August 17th,17-Aug-21,DL,EPIL,4,Fe,9.960348929
195,August 17th,17-Aug-21,DL,EPIL,5,Cu,0.570137525
195,August 17th,17-Aug-21,DL,EPIL,5,Fe,9.520628684
253,September,22-Sep-21,DL,EPIL,1,Cu,0.352525718
253,September,22-Sep-21,DL,EPIL,1,Fe,6.45017657
254,September,22-Sep-21,DL,EPIL,2,Cu,0.42800152
254,September,22-Sep-21,DL,EPIL,2,Fe,9.297112462
255,September,22-Sep-21,DL,EPIL,3,Cu,0.439989379
255,September,22-Sep-21,DL,EPIL,3,Fe,10.06372809
256,September,22-Sep-21,DL,EPIL,4,Cu,0.378813559
256,September,22-Sep-21,DL,EPIL,4,Fe,8.709039548
257,September,22-Sep-21,DL,EPIL,5,Cu,0.405684755
257,September,22-Sep-21,DL,EPIL,5,Fe,9.935400517
274,October,13-Oct-21,DL,EPIL,1,Cu,0.396853147
274,October,13-Oct-21,DL,EPIL,1,Fe,8.197115385
275,October,13-Oct-21,DL,EPIL,2,Cu,0.405946858
275,October,13-Oct-21,DL,EPIL,2,Fe,9.029945171
276,October,13-Oct-21,DL,EPIL,3,Cu,0.459369527
276,October,13-Oct-21,DL,EPIL,3,Fe,8.933450088
277,October,13-Oct-21,DL,EPIL,4,Cu,0.441420118
277,October,13-Oct-21,DL,EPIL,4,Fe,8.633136095
278,October,13-Oct-21,DL,EPIL,5,Cu,0.295172414
278,October,13-Oct-21,DL,EPIL,5,Fe,6.180689655
